scorer,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000
bodyparts,rf,rf,rf,lf,lf,lf,rh,rh,rh,lh,lh,lh
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
75,628.8431396,388.5994873,0.99847585,644.3396606,419.8469238,0.921006322,616.1486816,469.9368591,0.979742706,654.9416504,426.1066895,0.915643334
76,628.963501,388.5994873,0.998230815,649.3948975,418.9401855,0.199039713,616.1486816,466.5092773,0.979322433,654.9416504,426.0154724,0.917428374
77,628.963501,388.080658,0.99821353,649.4047852,368.4213867,0.968223274,616.6038208,445.5404053,0.829178095,655.4458008,424.6882324,0.930046082
78,628.963501,388.0091858,0.998101711,649.4047852,362.0140076,0.965672851,616.6229248,422.225708,0.756832957,655.5883789,424.4822693,0.945794165
79,628.963501,386.5046082,0.99398911,649.3948975,360.7301331,0.967842817,616.6038208,402.8471985,0.923285425,655.6661987,424.3717957,0.954511881
80,626.4043579,347.2987976,0.94628042,649.2805176,360.7301331,0.979137599,615.4199219,393.6141357,0.97800827,656.057373,423.8699951,0.966804564
81,625.6884155,346.1473389,0.95993495,649.2805176,361.1530457,0.962592781,615.7050781,392.7721252,0.987654746,656.1108398,422.3235168,0.972357273
82,624.9603882,336.578186,0.940527976,649.2373657,361.1530457,0.962049484,615.6924438,392.5666809,0.979936242,656.3214111,411.724884,0.929706395
83,623.8459473,317.6383057,0.985547662,649.2805176,360.7301331,0.972620428,615.4199219,392.0839233,0.982715011,656.9708252,396.0665894,0.884150326
84,623.9665527,317.6008606,0.997196913,649.2373657,355.2483826,0.687827766,615.4199219,391.9263916,0.980915368,656.9708252,364.9411621,0.946375489
85,624.175293,317.3790588,0.99641186,649.6395874,340.1146851,0.410788804,614.7783203,391.5750122,0.987422943,656.9708252,361.1832886,0.953290641
86,624.175293,317.3790588,0.996815085,649.0217896,307.255249,0.950894177,614.6552734,388.5520935,0.982965946,655.8221436,361.1628113,0.931184232
87,623.9665527,317.3790588,0.995748103,649.0217896,300.5404053,0.935670316,614.6552734,378.1793213,0.96380353,655.8221436,360.8309021,0.948141038
88,623.9665527,317.3790588,0.993273616,646.1189575,283.6766052,0.954907,614.7783203,356.8562927,0.80187279,655.8221436,360.8309021,0.948146939
89,623.8346558,317.3790588,0.962436318,645.3439331,268.9133911,0.927016139,614.8875122,329.6200256,0.83190155,655.8221436,360.4625854,0.964856207
90,621.3968506,290.3815308,0.187446207,645.3439331,265.6416931,0.97910136,615.5910645,327.824585,0.986870527,655.8221436,358.2984314,0.974188387
91,621.3968506,259.0994568,0.831766963,644.5001221,264.9803772,0.973599434,616.305542,327.2245483,0.987389803,655.3032837,345.9056702,0.865059555
92,621.3968506,233.4680328,0.986366034,644.5001221,264.9259644,0.967571318,616.305542,327.2245483,0.983181894,654.9955444,324.3793335,0.275410473
93,622.4630127,228.7900391,0.99717629,645.3439331,264.9259644,0.978089452,616.5681763,326.6488953,0.986756921,654.4209595,297.2906799,0.738307595
94,622.5553589,228.3166046,0.998231828,645.8677368,264.9259644,0.821812332,616.5681763,320.9299622,0.980066001,654.6789551,269.9836731,0.887442768
95,622.5553589,228.0576019,0.997743249,649.9853516,263.8092346,0.457256168,616.5681763,317.913208,0.964093387,654.4209595,269.5503235,0.938058436
96,622.5290527,227.986969,0.997808993,649.9853516,262.2337036,0.505116582,615.5144653,313.9717407,0.978405118,654.1450195,269.2719727,0.934984088
97,622.5553589,228.0576019,0.998183787,650.1578979,228.0518951,0.987319648,613.8601685,310.2528076,0.970686376,654.4209595,269.2719727,0.940994382
98,622.6871338,228.0576019,0.997983336,650.1578979,226.7725677,0.989567101,613.2058716,306.2568054,0.981263757,654.1450195,269.2719727,0.940826237
99,622.675293,227.8950348,0.998049676,649.8635254,226.4991608,0.951039732,612.4076538,298.086792,0.985800147,653.96521,269.2719727,0.942460775
100,622.7279663,227.7373962,0.997631729,649.6116333,226.4991608,0.991607785,612.06073,279.8253174,0.611302197,653.5819702,269.9194946,0.96841383
101,622.7279663,227.4049683,0.997849941,648.706543,224.8163757,0.989355564,611.039978,271.1969299,0.959440589,653.2926025,270.0688171,0.969446182
102,622.6890259,227.4049683,0.998086095,647.5943604,223.866272,0.990961134,611.039978,263.108429,0.979999363,653.1472778,270.8971252,0.973626673
