scorer,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120
bodyparts,RF,RF,RF,LF,LF,LF,RH,RH,RH,LH,LH,LH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
83,831.7297,711.44055,0.39798778,833.2316,709.46985,0.33534253,376.1556,706.42426,0.7886077,427.83783,670.66254,0.44014958
84,831.7297,711.44055,0.42791688,828.94385,709.34436,0.37520397,382.5362,707.0387,0.9431158,433.8719,669.05133,0.5035274
85,831.7297,711.44055,0.46643797,828.94385,709.30347,0.4015743,385.17017,707.34827,1.0,436.4265,669.05133,0.7403281
86,832.7895,711.44055,0.41155016,829.7815,709.30347,0.35879353,388.55783,707.6801,1.0,440.15063,669.6475,0.5137529
87,834.0713,711.2783,0.41449013,830.9065,709.21405,0.3550729,389.70206,708.06995,1.0,440.51147,670.66254,0.5676962
88,834.0713,711.2783,0.46819353,830.9065,709.21405,0.41116393,391.96432,709.4176,1.0,441.86932,671.21594,0.5649648
89,835.15356,710.9996,0.48776692,831.9098,708.6356,0.42540562,400.17413,711.659,1.0,450.04205,671.8484,0.74196714
90,837.51965,710.8988,0.5240487,834.378,708.5414,0.46553454,409.09128,715.6097,1.0,456.81558,671.8484,0.5985261
91,837.92285,710.1474,0.5667701,834.6035,707.65607,0.4983754,415.97952,717.3808,0.92265534,463.4835,671.9106,0.6806374
92,838.7779,709.96576,0.5505761,835.4384,707.2801,0.48079923,418.50006,717.3808,0.95122766,464.6797,673.88226,0.6877203
93,838.7779,709.96576,0.5488035,835.4384,707.2801,0.4742906,419.0928,717.56396,0.9455709,464.97607,673.88226,0.6701396
94,838.9898,709.7076,0.48886272,835.54205,707.0449,0.40628442,419.09448,717.3808,0.95858663,465.5922,676.0278,0.6547115
95,844.2903,709.96576,0.34544402,842.2926,707.2801,0.3042451,419.2348,717.2171,0.9623881,465.9374,681.4175,0.5597057
96,937.2107,710.5309,0.45212224,937.7599,708.60657,0.3863077,420.16055,715.943,0.948415,466.55103,681.4175,0.6115094
97,938.78033,710.9421,0.4767395,939.0094,708.96106,0.41036257,420.60623,715.943,0.9592497,467.20676,681.4175,0.56572825
98,939.1283,710.9421,0.47112378,939.2763,708.96106,0.40781367,420.87686,715.943,0.9579947,467.83676,681.19916,0.54056895
99,939.6306,712.0384,0.44761455,939.81256,709.88513,0.39668766,421.81506,716.0568,0.93524456,468.36072,679.55707,0.488903
100,939.9101,712.5383,0.430406,940.2663,710.3384,0.3923973,423.76938,716.44525,0.90638727,469.55478,677.52637,0.51078844
